as_of_date,portfolio,segment,n_obligors,gini,ks,psi,predicted_dr,observed_dr
2025-09-30,Commercial,C&I Large Corporate,1790,0.621,0.455,0.031,0.011,0.009
2025-09-30,Commercial,C&I Middle Market,4102,0.571,0.418,0.052,0.020,0.021
2025-09-30,Commercial,CRE Investor,2910,0.502,0.361,0.094,0.017,0.019
2025-09-30,Commercial,CRE Owner-Occupied,1530,0.534,0.398,0.047,0.015,0.015
2025-09-30,Commercial,Business Banking,8610,0.421,0.309,0.142,0.032,0.035
2025-12-31,Commercial,C&I Large Corporate,1805,0.618,0.451,0.035,0.012,0.010
2025-12-31,Commercial,C&I Middle Market,4150,0.568,0.415,0.061,0.021,0.022
2025-12-31,Commercial,CRE Investor,2940,0.493,0.352,0.118,0.018,0.022
2025-12-31,Commercial,CRE Owner-Occupied,1545,0.531,0.395,0.055,0.015,0.016
2025-12-31,Commercial,Business Banking,8700,0.409,0.298,0.187,0.033,0.037
2026-03-31,Commercial,C&I Large Corporate,1822,0.615,0.450,0.038,0.012,0.010
2026-03-31,Commercial,C&I Middle Market,4180,0.565,0.413,0.074,0.021,0.023
2026-03-31,Commercial,CRE Investor,2960,0.482,0.345,0.151,0.018,0.025
2026-03-31,Commercial,CRE Owner-Occupied,1552,0.529,0.393,0.060,0.015,0.016
2026-03-31,Commercial,Business Banking,8770,0.398,0.292,0.231,0.034,0.039
2026-06-30,Commercial,C&I Large Corporate,1840,0.612,0.448,0.041,0.012,0.010
2026-06-30,Commercial,C&I Middle Market,4210,0.563,0.412,0.087,0.021,0.024
2026-06-30,Commercial,CRE Investor,2975,0.471,0.338,0.183,0.018,0.027
2026-06-30,Commercial,CRE Owner-Occupied,1560,0.528,0.391,0.064,0.015,0.016
2026-06-30,Commercial,Business Banking,8830,0.389,0.287,0.271,0.034,0.041
